match,group,matchup,pick
1,A,Mexico v South Africa,Mexico
2,A,South Korea v Czech Republic,South Korea
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,United States
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Australia
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Curaçao
11,F,Netherlands v Japan,Japan
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Draw
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,Draw
16,G,Belgium v Egypt,Draw
17,I,France v Senegal,France
18,I,Iraq v Norway,Iraq
19,J,Argentina v Algeria,Draw
20,J,Austria v Jordan,Draw
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,England
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Draw
25,A,Czech Republic v South Africa,South Africa
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Qatar
28,A,Mexico v South Korea,Mexico
29,C,Brazil v Haiti,Draw
30,C,Scotland v Morocco,Morocco
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Ivory Coast
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Draw
36,F,Tunisia v Japan,Japan
37,H,Uruguay v Cape Verde,Uruguay
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Draw
42,I,France v Iraq,Iraq
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Draw
45,L,England v Ghana,Draw
46,L,Panama v Croatia,Croatia
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Draw
49,C,Scotland v Brazil,Draw
50,C,Morocco v Haiti,Morocco
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Draw
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,Turkey
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,Norway
62,I,Senegal v Iraq,Senegal
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Draw
67,L,Panama v England,Draw
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Algeria
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Portugal
72,K,DR Congo v Uzbekistan,Uzbekistan
