match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,France v Argentina,France
90,R16,Brazil v Ecuador,Ecuador
91,R16,Switzerland v Netherlands,Switzerland
92,R16,England v Portugal,England
93,R16,South Korea v Uruguay,South Korea
94,R16,United States v Croatia,Croatia
95,R16,Austria v Australia,Australia
96,R16,Turkey v Ghana,Turkey
97,QF,France v Ecuador,France
98,QF,South Korea v Croatia,Croatia
99,QF,Switzerland v England,Switzerland
100,QF,Australia v Turkey,Turkey
101,SF,France v Croatia,France
102,SF,Switzerland v Turkey,Switzerland
103,3rd,Croatia v Turkey,Turkey
104,Final,France v Switzerland,France
