match,round,matchup,pick
73,R32,South Africa v Canada,South Africa
74,R32,Germany v Paraguay,Paraguay
75,R32,Netherlands v Morocco,Netherlands
76,R32,Brazil v Japan,Brazil
77,R32,France v Sweden,France
78,R32,Ivory Coast v Norway,Norway
79,R32,Mexico v Ecuador,Ecuador
80,R32,England v DR Congo,England
81,R32,United States v Bosnia and Herzegovina,United States
82,R32,Belgium v Senegal,Belgium
83,R32,Portugal v Croatia,Portugal
84,R32,Spain v Austria,Spain
85,R32,Switzerland v Algeria,Algeria
86,R32,Argentina v Cape Verde,Argentina
87,R32,Colombia v Ghana,Colombia
88,R32,Australia v Egypt,Egypt
89,R16,Paraguay v France,France
90,R16,South Africa v Netherlands,Netherlands
91,R16,Brazil v Norway,Brazil
92,R16,Ecuador v England,England
93,R16,Portugal v Spain,Portugal
94,R16,United States v Belgium,United States
95,R16,Argentina v Egypt,Argentina
96,R16,Algeria v Colombia,Colombia
97,QF,France v Netherlands,Netherlands
98,QF,Portugal v United States,United States
99,QF,Brazil v England,Brazil
100,QF,Argentina v Colombia,Argentina
101,SF,Netherlands v United States,United States
102,SF,Brazil v Argentina,Argentina
103,3rd,Netherlands v Brazil,Netherlands
104,Final,United States v Argentina,Argentina
