match,round,matchup,pick
73,R32,South Africa v Canada,South Africa
74,R32,Germany v Paraguay,Germany
75,R32,Netherlands v Morocco,Netherlands
76,R32,Brazil v Japan,Brazil
77,R32,France v Sweden,Sweden
78,R32,Ivory Coast v Norway,Norway
79,R32,Mexico v Ecuador,Mexico
80,R32,England v DR Congo,DR Congo
81,R32,United States v Bosnia and Herzegovina,United States
82,R32,Belgium v Senegal,Belgium
83,R32,Portugal v Croatia,Croatia
84,R32,Spain v Austria,Spain
85,R32,Switzerland v Algeria,Algeria
86,R32,Argentina v Cape Verde,Cape Verde
87,R32,Colombia v Ghana,Ghana
88,R32,Australia v Egypt,Egypt
89,R16,Germany v Sweden,Sweden
90,R16,South Africa v Netherlands,South Africa
91,R16,Brazil v Norway,Brazil
92,R16,Mexico v DR Congo,Mexico
93,R16,Croatia v Spain,Spain
94,R16,United States v Belgium,United States
95,R16,Cape Verde v Egypt,Cape Verde
96,R16,Algeria v Ghana,Ghana
97,QF,Sweden v South Africa,South Africa
98,QF,Spain v United States,Spain
99,QF,Brazil v Mexico,Brazil
100,QF,Cape Verde v Ghana,Cape Verde
101,SF,South Africa v Spain,South Africa
102,SF,Brazil v Cape Verde,Brazil
103,3rd,Spain v Cape Verde,Cape Verde
104,Final,South Africa v Brazil,Brazil
