match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,France
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Panama
89,R16,France v Mexico,Mexico
90,R16,Brazil v Ecuador,Brazil
91,R16,Germany v Senegal,Senegal
92,R16,England v Portugal,England
93,R16,Saudi Arabia v Egypt,Saudi Arabia
94,R16,United States v Japan,United States
95,R16,Austria v Panama,Panama
96,R16,Canada v Ghana,Ghana
97,QF,Mexico v Brazil,Brazil
98,QF,Saudi Arabia v United States,United States
99,QF,Senegal v England,Senegal
100,QF,Panama v Ghana,Ghana
101,SF,Brazil v United States,Brazil
102,SF,Senegal v Ghana,Ghana
103,3rd,United States v Senegal,United States
104,Final,Brazil v Ghana,Brazil
