match,winner,home_score,away_score,home_pen,away_pen
73,Canada,0,1,,
74,Paraguay,1,1,3,4
75,Morocco,1,1,2,3
76,Brazil,2,1,,
77,France,3,0,,
78,Norway,1,2,,
79,Mexico,2,0,,
80,England,2,1,,
81,United States,2,0,,
82,Belgium,3,2,,
83,Portugal,2,1,,
84,Spain,3,0,,
85,Switzerland,2,0,,
86,Argentina,3,2,,
87,Colombia,1,0,,
88,Egypt,1,1,2,4
89,France,0,1,,
90,Morocco,0,3,,
91,Norway,1,2,,
92,England,2,3,,
93,Spain,0,1,,
94,Belgium,1,4,,
95,Argentina,3,2,,
96,Switzerland,0,0,4,3
97,France,2,0,,
98,Spain,2,1,,
99,England,1,2,,
100,Argentina,3,1,,
101,Spain,0,2,,
102,Argentina,1,2,,
103,England,4,6,,
104,Spain,1,0,,
